,feature,weight
33,zoned_school_median_study_score,-62.20869088152301
181,population: 5-9_pc,-46.24063444402739
78,birth: hong kong sar of china,-35.59269698606386
205,birth: egypt_pc,-34.30025647450049
204,birth: indonesia_pc,-33.987541272391184
237,birth: netherlands_pc,-29.949350286747112
208,birth: ireland_pc,-29.339685170916674
174,economic: top 1% suburb_pc,-27.75161253869548
268,relationships: other related individual_pc,-27.369698699673823
60,population: 60-64,-26.93902617673635
131,studying: secondary government,-24.99796395423306
226,birth: mauritius_pc,-22.431241026362535
39,economic: median age of earners,-19.41119798065955
86,birth: malta,-18.69219300793101
29,best_school_study_score_over_40_percent,-18.253877412595568
257,studying: tafe total_pc,-17.184478787634404
267,relationships: defacto_pc,-16.397319297203033
88,birth: china excludes sars and taiwan,-15.002388914335729
256,studying: tertiary PT 25+_pc,-13.944302689370181
140,relationships: group household,-13.937638727185796
184,population: 20-24_pc,-12.32371507342885
89,birth: poland,-11.452359085201529
259,studying: secondary catholic_pc,-11.294952395581593
242,birth: bangladesh_pc,-11.01489073417944
92,birth: greece,-11.006598449769996
19,e10_justice_procedures,-10.735928801143155
248,birth: italy_pc,-10.683635509697734
120,studying: primary other,-10.303009115190548
51,population: 15-19,-10.263700565320741
122,studying: tertiary FT 25+,-10.196058097116959
229,birth: india_pc,-9.608027736128863
199,birth: wales_pc,-8.999987345296843
227,birth: samoa_pc,-8.850821687437906
196,population: 80-84_pc,-8.300975093739988
150,b10_arson_pc,-8.289531052366428
244,birth: canada_pc,-8.042362299157244
59,population: 55-59,-7.982987973307467
80,birth: north macedonia,-7.942755440441085
145,a20_assault_and_related_offences_pc,-7.762673544153173
210,birth: nepal_pc,-7.397777265189556
9,b20_property_damage,-7.315128772232813
228,birth: sri lanka_pc,-6.988084395067873
207,birth: thailand_pc,-6.984635437699669
215,birth: taiwan_pc,-6.682152854772657
159,d20_disorderly_and_offensive_conduct_pc,-6.120826451681249
222,birth: south africa_pc,-6.050238743326398
38,duration_to_cbd,-5.795365570819373
271,relationships: group household_pc,-5.740899053031145
94,birth: iraq,-5.733654132753014
42,economic: top 1% suburb,-5.545744772935398
225,birth: iraq_pc,-5.358844869532467
209,birth: hong kong sar of china_pc,-4.6795597581598765
203,birth: country of birth not stated_pc,-4.166902838109273
241,birth: zimbabwe_pc,-3.5210045310394555
20,e20_breaches_of_orders,-3.2816356548029155
165,c90_other_drug_offences_pc,-3.1333846941037313
230,birth: philippines_pc,-2.9895899851812144
168,f10_regulatory_driving_offences_pc,-2.825434923146832
14,c20_cultivate_or_manufacture_drugs,-2.759605584411495
166,f30_other_government_regulatory_offences_pc,-2.558308535349804
195,population: 75-79_pc,-2.2547160867481306
182,population: 10-14_pc,-2.2529379649820758
216,birth: japan_pc,-2.144235201480084
154,b50_deception_pc,-1.790830685471663
138,relationships: non dependent child,-1.7433745783350703
217,birth: malta_pc,-1.4328479618466203
97,birth: sri lanka,-1.2819282471912736
169,b60_bribery_pc,-1.1463492359628065
25,d40_public_security_offences,-1.1167687036772969
17,d20_disorderly_and_offensive_conduct,-1.036274565565951
84,birth: taiwan,-0.9619454093817497
63,population: 75-79,-0.705448631148717
104,birth: france,-0.572794326601437
69,birth: papua new guinea,-0.4987393104779781
238,birth: myanmar_pc,-0.1443580181787897
263,studying: secondary total_pc,-0.1227145612784986
163,f20_transport_regulation_offences_pc,-0.0914933719361286
64,population: 80-84,-0.014854821475714763
252,studying: tertiary FT 14-25_pc,0.0
253,studying: tertiary FT 25+_pc,-0.0
254,studying: primary total_pc,0.0
246,birth: cambodia_pc,0.0
243,birth: turkey_pc,0.0
249,birth: croatia_pc,0.0
234,birth: lebanon_pc,0.0
235,birth: france_pc,0.0
28,total_crimes,-0.0
24,f30_other_government_regulatory_offences,0.0
23,c90_other_drug_offences,0.0
27,b60_bribery,-0.0
31,zoned_school_number_vce_subjects,-0.0
5,"a70_stalking,_harassment_and_threatening_behaviour",0.0
112,birth: turkey,0.0
113,birth: canada,0.0
129,studying: preschool,0.0
119,birth: germany,0.0
