,feature,weight
120,studying: primary other,-108.9608423788919
228,birth: sri lanka_pc,-96.79216958054937
174,economic: top 1% suburb_pc,-73.21048167485554
183,population: 15-19_pc,-68.34224536425916
204,birth: indonesia_pc,-63.39539465446206
222,birth: south africa_pc,-60.2431220931091
208,birth: ireland_pc,-58.50280768787457
82,birth: chile,-57.82072696775678
113,birth: canada,-56.79315452646352
39,economic: median age of earners,-54.07475349407696
138,relationships: non dependent child,-48.77981617156543
154,b50_deception_pc,-40.980029541543715
155,c10_drug_dealing_and_trafficking_pc,-40.46159310701632
217,birth: malta_pc,-40.18722854533349
269,relationships: non dependent child_pc,-36.93723107417844
185,population: 25-29_pc,-34.65984796239572
87,birth: scotland,-34.137182414645196
198,birth: brazil_pc,-33.86347092434915
247,birth: born elsewhere_pc,-32.510353958535205
192,population: 60-64_pc,-31.391118967332165
78,birth: hong kong sar of china,-31.37040366965929
34,zoned_school_study_score_over_40_percent,-31.2589852753064
248,birth: italy_pc,-30.951137404155567
53,population: 25-29,-30.31444536590042
199,birth: wales_pc,-29.993617124948432
231,birth: vietnam_pc,-28.88262969337226
118,birth: croatia,-27.624318643045516
267,relationships: defacto_pc,-25.45930218793324
200,birth: papua new guinea_pc,-24.349894261529162
176,economic: trimmed mean quarterly_pc,-24.064101315397533
245,birth: korea republic of south_pc,-21.923572414135162
145,a20_assault_and_related_offences_pc,-19.621317930650488
167,d40_public_security_offences_pc,-18.603796082620985
237,birth: netherlands_pc,-17.44029896076241
17,d20_disorderly_and_offensive_conduct,-17.296652678468284
209,birth: hong kong sar of china_pc,-16.720755002177174
260,studying: preschool_pc,-15.94812104022071
31,zoned_school_number_vce_subjects,-15.490723548000135
216,birth: japan_pc,-14.422774771246031
63,population: 75-79,-14.022673580400912
180,population: 0-4_pc,-13.932786473787722
109,birth: bosnia and herzegovina,-13.476170044436207
259,studying: secondary catholic_pc,-13.33649290882799
256,studying: tertiary PT 25+_pc,-13.239071585582336
9,b20_property_damage,-12.772288485367339
187,population: 35-39_pc,-12.327790014158305
122,studying: tertiary FT 25+,-10.65940292545179
19,e10_justice_procedures,-9.349872804522795
195,population: 75-79_pc,-9.136255844491885
128,studying: secondary catholic,-9.074534716754302
214,birth: fiji_pc,-8.960184799952248
153,b40_theft_pc,-8.755039174746337
148,a80_dangerous_and_negligent_acts_endangering_people_pc,-8.71716883957886
27,b60_bribery,-8.51279708011687
243,birth: turkey_pc,-8.118676484527468
270,relationships: lone persons_pc,-7.058073279007991
111,birth: bangladesh,-6.9097713636288125
16,d10_weapons_and_explosives_offences,-6.175182529165475
164,f90_miscellaneous_offences_pc,-5.886916028060997
236,birth: total_pc,-5.581642520019953
95,birth: mauritius,-5.197309445008275
20,e20_breaches_of_orders,-4.944393308417288
158,d10_weapons_and_explosives_offences_pc,-4.725264101704343
92,birth: greece,-4.304978575281191
23,c90_other_drug_offences,-3.467951334042834
168,f10_regulatory_driving_offences_pc,-3.150837815370938
166,f30_other_government_regulatory_offences_pc,-2.9167185745515734
226,birth: mauritius_pc,-2.878878984370589
84,birth: taiwan,-2.867580428201157
45,economic: variable interest rate,-2.4741946649489672
42,economic: top 1% suburb,-2.411101305839976
21,f20_transport_regulation_offences,-2.23029117896802
160,d30_public_nuisance_offences_pc,-1.752478994624835
46,economic: gdp quarterly,-1.636385323467279
258,studying: primary government_pc,-1.5679967092670255
2,quarter,-1.3879045820207587
125,studying: tertiary PT 25+,-0.8487950882609104
203,birth: country of birth not stated_pc,-0.6263545211242598
211,birth: north macedonia_pc,-0.290620819887951
249,birth: croatia_pc,-0.11727523891697979
1,year,-0.116014856308511
144,economic: number of earners,-0.0269299881728133
253,studying: tertiary FT 25+_pc,0.0
254,studying: primary total_pc,-0.0
246,birth: cambodia_pc,-0.0
238,birth: myanmar_pc,-0.0
240,birth: bosnia and herzegovina_pc,-0.0
242,birth: bangladesh_pc,-0.0
33,zoned_school_median_study_score,-0.0
233,birth: iran_pc,0.0
24,f30_other_government_regulatory_offences,0.0
28,total_crimes,-0.0
110,birth: zimbabwe,0.0
124,studying: tertiary PT 14-25,0.0
123,studying: primary total,-0.0
104,birth: france,-0.0
101,birth: new zealand,0.0
105,birth: total,0.0
117,birth: italy,-0.0
119,birth: germany,0.0
121,studying: tertiary FT 14-25,0.0
131,studying: secondary government,-0.0
129,studying: preschool,-0.0
127,studying: primary government,-0.0
126,studying: tafe total,0.0
132,studying: secondary total,-0.0
11,b40_theft,-0.0
8,b10_arson,-0.0
7,other_crimes_against_the_person,-0.0
6,a80_dangerous_and_negligent_acts_endangering_people,0.0
261,studying: primary catholic_pc,-0.0
18,d30_public_nuisance_offences,-0.0
15,c30_drug_use_and_possession,0.0
14,c20_cultivate_or_manufacture_drugs,0.0
103,birth: lebanon,0.0
115,birth: cambodia,-0.0
112,birth: turkey,-0.0
156,c20_cultivate_or_manufacture_drugs_pc,-0.0
135,relationships: child under 15,-0.0
136,relationships: defacto,0.0
133,studying: tertiary total,-0.0
143,relationships: lone parents,-0.0
137,relationships: other related individual,0.0
186,population: 30-34_pc,-0.0
173,economic: top 5% suburb_pc,0.0
188,population: 40-44_pc,0.0
175,economic: gini coefficient_pc,0.0
190,population: 50-54_pc,-0.0
140,relationships: group household,-0.0
139,relationships: lone persons,-0.0
181,population: 5-9_pc,0.0
142,relationships: dependent student,-0.0
83,birth: fiji,0.0
80,birth: north macedonia,-0.0
72,birth: country of birth not stated,0.0
76,birth: thailand,-0.0
162,e20_breaches_of_orders_pc,-0.0
70,birth: australia,-0.0
79,birth: nepal,0.0
86,birth: malta,-0.0
88,birth: china excludes sars and taiwan,0.0
89,birth: poland,-0.0
85,birth: japan,0.0
96,birth: samoa,-0.0
99,birth: philippines,0.0
