,variable,correlation,correlation_with_distance
275,relationships: lone parents_pc,-0.7174663578082372,0.5206704230867445
36,crow_distance_to_cbd,-0.6424794169554796,0.9929416632267035
37,distance_to_cbd,-0.6422712847560581,0.9961861600986065
151,b10_arson_pc,-0.5401661213692525,0.3884877975862334
8,b10_arson,-0.5254202260245457,0.30142825994761485
262,studying: primary catholic_pc,-0.5164849384393899,0.45572593915878357
149,a80_dangerous_and_negligent_acts_endangering_people_pc,-0.48960147528514847,0.36716579641075375
204,birth: country of birth not stated_pc,-0.48423844538992983,0.4285054177655159
6,a80_dangerous_and_negligent_acts_endangering_people,-0.4539388122298963,0.23188144239002526
181,population: 0-4_pc,-0.45201815569583026,0.21417226331918038
270,relationships: non dependent child_pc,-0.43871500490518056,0.17800031108112171
163,e20_breaches_of_orders_pc,-0.4324752048331367,0.3698961632068687
20,e20_breaches_of_orders,-0.4294280288488128,0.2781389830356272
202,birth: australia_pc,-0.4257129582472427,0.5804323570166715
237,birth: total_pc,-0.41565677021492303,0.3905049927425528
263,studying: secondary government_pc,-0.4051822502318696,0.28532220654596496
238,birth: netherlands_pc,-0.38131276139405923,0.36452975957271994
148,"a70_stalking,_harassment_and_threatening_behaviour_pc",-0.3701572738843435,0.2777099295117555
267,relationships: child under 15_pc,-0.36944845048665303,0.3097522735462537
162,e10_justice_procedures_pc,-0.3661462082638086,0.3024132491376517
5,"a70_stalking,_harassment_and_threatening_behaviour",-0.36461110312308564,0.1648266596076431
152,b20_property_damage_pc,-0.35535501553231497,0.28819006491423443
19,e10_justice_procedures,-0.34357856119857655,0.20573356501049542
182,population: 5-9_pc,-0.34337272313097567,0.29681994630972774
9,b20_property_damage,-0.3410280291692409,0.17764684960249072
159,d10_weapons_and_explosives_offences_pc,-0.339478078734506,0.2347722241137259
157,c20_cultivate_or_manufacture_drugs_pc,-0.319947453758426,0.2024676040961596
260,studying: secondary catholic_pc,-0.31913235602599754,0.3514019874039713
194,population: 65-69_pc,-0.31481525012749245,0.5026468073835437
146,a20_assault_and_related_offences_pc,-0.31320357974101454,0.2576582894032483
255,studying: primary total_pc,-0.31279134987076423,0.3053176048453277
197,population: 80-84_pc,-0.30525327055392365,0.43461105463805516
196,population: 75-79_pc,-0.29390483846277754,0.465207176332098
231,birth: philippines_pc,-0.28943814209569707,-0.03942853303225971
7,other_crimes_against_the_person,-0.2891536292540292,0.17162566389946365
150,other_crimes_against_the_person_pc,-0.2884324997103659,0.2569786391489109
193,population: 60-64_pc,-0.283906988031363,0.4686612660983943
14,c20_cultivate_or_manufacture_drugs,-0.28301082292862245,0.07297614543810242
16,d10_weapons_and_explosives_offences,-0.27821659498180684,0.10062972027887579
129,studying: primary catholic,-0.270350983022092,0.1088703550259986
261,studying: preschool_pc,-0.25050428746303893,0.2122666968125042
183,population: 10-14_pc,-0.2472477598705717,0.3300681786001329
3,a20_assault_and_related_offences,-0.23915066505376611,0.11328292060924472
