,feature,weight,weight_abs
218,birth: scotland_pc,0.013415985415444982,0.17161770710347793
77,birth: ireland,0.01309914394038412,0.1675646609960612
232,birth: new zealand_pc,0.013016771706100615,0.16651095278611852
212,birth: england_pc,0.012874605953815572,0.16469236401456902
208,birth: ireland_pc,0.01190355179253161,0.15227060866285325
199,birth: wales_pc,0.011564693740819712,0.1479359258149278
87,birth: scotland,0.011316882443250508,0.1447659159076269
81,birth: england,0.011106114445254002,0.14206976505274385
202,birth: malaysia_pc,-0.010908141951417089,0.13953729468923745
219,birth: china excludes sars and taiwan_pc,-0.010808078915047753,0.13825728518298475
68,birth: wales,0.010712709307487613,0.13703731416557535
88,birth: china excludes sars and taiwan,-0.010398126896810859,0.13301316608076333
267,relationships: defacto_pc,0.010345280163644064,0.1323371490091024
71,birth: malaysia,-0.010262384728935845,0.13127674800288242
136,relationships: defacto,0.010080101455938063,0.12894497464546786
209,birth: hong kong sar of china_pc,-0.009952830293937483,0.1273169179409794
78,birth: hong kong sar of china,-0.00967757047185852,0.12379578564543298
113,birth: canada,0.009596298606390963,0.12275615338796889
40,economic: median income,0.009562946313742755,0.12232950981213882
244,birth: canada_pc,0.009331696471362186,0.11937135456014329
183,population: 15-19_pc,-0.00917599978763671,0.11737967768832587
84,birth: taiwan,-0.009175455238928851,0.11737271180413958
101,birth: new zealand,0.009082883618878766,0.11618853273090056
215,birth: taiwan_pc,-0.008886433620503804,0.113675538177196
235,birth: france_pc,0.008872861071329157,0.11350191770156397
188,population: 40-44_pc,0.008801689798145513,0.11259149253806082
104,birth: france,0.008412770361807365,0.10761642288454956
114,birth: korea republic of south,-0.008227177648998005,0.10524231506904846
239,birth: united states of america_pc,0.008201521183671652,0.1049141167582021
187,population: 35-39_pc,0.008089714003045282,0.10348387578949084
108,birth: united states of america,0.007914969149226292,0.10124853412714654
250,birth: germany_pc,0.007839484367056606,0.10028293042111887
233,birth: iran_pc,-0.007484649432161806,0.0957438707813587
106,birth: netherlands,0.007435051477231311,0.09510941218300677
268,relationships: other related individual_pc,-0.0073993338417788395,0.094652511067681
119,birth: germany,0.007392377879276959,0.09456353017672861
245,birth: korea republic of south_pc,-0.007318059917991463,0.09361285248012507
90,birth: singapore,-0.007117854669654463,0.09105182065087732
252,studying: tertiary FT 14-25_pc,-0.006996271517634218,0.08949652514883343
256,studying: tertiary PT 25+_pc,0.006884266967396192,0.08806375942184648
204,birth: indonesia_pc,-0.006808400441517697,0.08709327243829737
221,birth: singapore_pc,-0.00680232181575589,0.08701551446649901
73,birth: indonesia,-0.006775770965231658,0.08667587515209053
275,economic: number of earners_pc,0.006539426581908606,0.08365255037223555
125,studying: tertiary PT 25+,0.006459784126377344,0.08263376157788947
121,studying: tertiary FT 14-25,-0.006446460679164521,0.08246332762238244
196,population: 80-84_pc,-0.006444558627684953,0.08243899652007367
70,birth: australia,0.006335423761835739,0.08104293988598359
69,birth: papua new guinea,0.006226725239805766,0.07965246497574367
184,population: 20-24_pc,-0.006210385257053699,0.07944344340280787
102,birth: iran,-0.006154300108657016,0.0787260004217417
110,birth: zimbabwe,0.006123998513621402,0.07833838146565641
270,relationships: lone persons_pc,0.00593676347646595,0.07594326498550129
186,population: 30-34_pc,0.005762924299268184,0.07371950876696143
222,birth: south africa_pc,0.005676080057190908,0.07260859449276406
201,birth: australia_pc,0.005661904737737554,0.07242726336078152
12,b50_deception,0.005614354280266062,0.07181899641427872
205,birth: egypt_pc,-0.005582995379435541,0.07141785236923348
269,relationships: non dependent child_pc,-0.005546320648459929,0.07094870805789387
200,birth: papua new guinea_pc,0.005536420580044568,0.07082206607156195
195,population: 75-79_pc,-0.005464143730458661,0.06989749833997241
92,birth: greece,-0.005364959327731603,0.06862872834288748
189,population: 45-49_pc,0.005364119159788668,0.06861798088815468
198,birth: brazil_pc,0.0053552816491659015,0.06850493117450221
231,birth: vietnam_pc,-0.00532580137091602,0.06812781852855429
197,population: 85 and over_pc,-0.005325165957938904,0.06811969030577977
91,birth: south africa,0.005319374853173547,0.06804561031160489
11,b40_theft,0.005243618802975964,0.06707653653643829
139,relationships: lone persons,0.005236138937307418,0.06698085385971146
241,birth: zimbabwe_pc,0.005139456305776425,0.06574408659839813
100,birth: vietnam,-0.005024585971183217,0.06427466166786709
237,birth: netherlands_pc,0.0050238923755483045,0.06426578917070534
129,studying: preschool,0.004938850439096337,0.06317793004671401
153,b40_theft_pc,0.00474080983379416,0.0606445883992032
154,b50_deception_pc,0.004732826440869162,0.0605424645859858
67,birth: brazil,0.004694264586287274,0.06004918013016173
246,birth: cambodia_pc,-0.0046200123770044265,0.05909934353524268
134,overseas: 5 years,-0.00456177290001094,0.05835434231505491
228,birth: sri lanka_pc,-0.00451903104558568,0.057807587169855575
272,relationships: married_pc,-0.004325970800624259,0.05533795444835817
48,population: 0-4,0.004315408625277601,0.05520284276935086
248,birth: italy_pc,-0.0042937848189605835,0.0549262303592998
55,population: 35-39,0.004266088742626999,0.054571941280343234
133,studying: tertiary total,-0.004259086967423912,0.05448237435187711
9,b20_property_damage,0.004248407779537839,0.054345765844787855
273,relationships: dependent student_pc,-0.004205818757584239,0.053800965737369574
265,overseas: 5 years_pc,-0.004176614207276043,0.053427380211917924
127,studying: primary government,0.004152581858263554,0.053119957648005034
28,total_crimes,0.004074803705811375,0.05212501707724228
229,birth: india_pc,-0.004052131051019549,0.05183498776453579
180,population: 0-4_pc,0.004051577831483481,0.05182791096284251
117,birth: italy,-0.004033449094323243,0.05159600758729622
135,relationships: child under 15,0.004027042019054765,0.05151404807908524
264,studying: tertiary total_pc,-0.004019008718017541,0.051411285839727615
