,feature,weight,weight_abs
148,a80_dangerous_and_negligent_acts_endangering_people_pc,0.011087948931425656,0.14509216478502418
158,d10_weapons_and_explosives_offences_pc,0.010717500163417918,0.1402446304011084
6,a80_dangerous_and_negligent_acts_endangering_people,0.0107161343911183,0.14022675848802688
145,a20_assault_and_related_offences_pc,0.010548827533824582,0.13803745239920423
147,"a70_stalking,_harassment_and_threatening_behaviour_pc",0.010410893427014914,0.13623250558005162
5,"a70_stalking,_harassment_and_threatening_behaviour",0.010288719776265186,0.13463379335864817
162,e20_breaches_of_orders_pc,0.01027307689927377,0.13442909735037945
20,e20_breaches_of_orders,0.010160040129258831,0.13294994644851235
161,e10_justice_procedures_pc,0.010148377801355085,0.1327973382057749
9,b20_property_damage,0.010123507058182138,0.13247189028126763
151,b20_property_damage_pc,0.01002234223768022,0.13114809064100139
8,b10_arson,0.00995655802022698,0.13028726646350836
150,b10_arson_pc,0.0099377112452582,0.1300406456144813
19,e10_justice_procedures,0.009891267182443637,0.12943289844168568
170,total_crimes_pc,0.009607832120310687,0.12572398825503314
16,d10_weapons_and_explosives_offences,0.009606101682771298,0.12570134448834844
28,total_crimes,0.009401085409109115,0.12301858908013241
3,a20_assault_and_related_offences,0.009209829186473442,0.12051589182363917
7,other_crimes_against_the_person,0.008896247077745733,0.11641249025906268
203,birth: country of birth not stated_pc,0.008853333754195322,0.11585094483253187
108,birth: united states of america,-0.008788187649850341,0.1149984707306775
149,other_crimes_against_the_person_pc,0.008550959775022089,0.11189420806505243
113,birth: canada,-0.008509512333160328,0.11135184454031792
152,b30_burglary/break_and_enter_pc,0.00839315888092212,0.10982929295121335
156,c20_cultivate_or_manufacture_drugs_pc,0.008307543827623678,0.10870897092429191
157,c30_drug_use_and_possession_pc,0.007970408091964592,0.10429735665589188
275,economic: number of earners_pc,-0.00784631475285356,0.10267352421236468
10,b30_burglary/break_and_enter,0.007810074414579295,0.10219929862156564
15,c30_drug_use_and_possession,0.007801937030570624,0.10209281628936814
14,c20_cultivate_or_manufacture_drugs,0.007720369465677078,0.10102545796729785
274,relationships: lone parents_pc,0.007693917596997009,0.10067932010959878
160,d30_public_nuisance_offences_pc,0.0075889061490100685,0.0993051851447044
13,c10_drug_dealing_and_trafficking,0.007583796672831179,0.0992383247213477
43,economic: gini coefficient,-0.007437533735904629,0.09732439038797953
239,birth: united states of america_pc,-0.007301823287760639,0.09554854141654802
222,birth: south africa_pc,-0.007256200044455525,0.09495153513733515
153,b40_theft_pc,0.0072097100938527895,0.09434318749653911
244,birth: canada_pc,-0.007134000666864836,0.09335248626547711
11,b40_theft,0.007120675127273568,0.09317811394484478
255,studying: tertiary PT 14-25_pc,-0.007113895529979161,0.09308939902976897
230,birth: philippines_pc,0.00706641035308525,0.09246802828272212
221,birth: singapore_pc,-0.007022667668268819,0.09189563018882967
18,d30_public_nuisance_offences,0.0069310654615027,0.09069696282834852
155,c10_drug_dealing_and_trafficking_pc,0.006763729985892757,0.08850728225246075
40,economic: median income,-0.006718528055197717,0.08791578909014848
41,economic: top 5% suburb,-0.006655366561874869,0.08708928476063327
34,zoned_school_study_score_over_40_percent,-0.0063651108372840045,0.08329112229771152
159,d20_disorderly_and_offensive_conduct_pc,0.0063054051138280364,0.08250983869694294
104,birth: france,-0.006238840740461282,0.08163880573231877
216,birth: japan_pc,-0.006168701639106409,0.08072099540377262
