,feature,weight,weight_abs
105,birth: total,0.008969140944211558,0.12248280180005874
66,population: total persons,0.008965610999366944,0.1224345967894053
56,population: 40-44,0.00871497127658027,0.11901185478097312
141,relationships: married,0.008691314942961319,0.11868880332710607
49,population: 5-9,0.008649850044626631,0.1181225576904306
48,population: 0-4,0.008646912235831427,0.11808243890373434
138,relationships: non dependent child,0.00864283191404194,0.11802671793244726
55,population: 35-39,0.008591296075200547,0.11732294329297258
51,population: 15-19,0.008580651716751814,0.11717758368113525
144,economic: number of earners,0.008570889872878018,0.11704427570929776
135,relationships: child under 15,0.008540529014655173,0.11662966710817099
143,relationships: lone parents,0.008528421931229605,0.11646433248930234
137,relationships: other related individual,0.008526817451849347,0.1164424216807704
131,studying: secondary government,0.008523167759079417,0.11639258138960419
57,population: 45-49,0.008495548601312955,0.11601541351504008
123,studying: primary total,0.008483392633832219,0.11584941133435277
50,population: 10-14,0.008471611994642626,0.11568853464572539
58,population: 50-54,0.008462134374767815,0.11555910804356993
132,studying: secondary total,0.008439024103434374,0.11524351362924576
127,studying: primary government,0.008369912248154811,0.1142997204917654
129,studying: preschool,0.008315526832115937,0.11355703195838894
142,relationships: dependent student,0.008291935378013746,0.11323486650074399
59,population: 55-59,0.008259823689816637,0.11279634852389696
126,studying: tafe total,0.008188377662956917,0.11182067988386866
60,population: 60-64,0.008031532073275166,0.10967879278523841
54,population: 30-34,0.007710137967314994,0.10528982723938732
70,birth: australia,0.00763819803896678,0.10430741386889933
61,population: 65-69,0.007617643981961536,0.10402672717816501
72,birth: country of birth not stated,0.007538288258310193,0.102943043530852
99,birth: philippines,0.007453580276220981,0.10178626931516618
116,birth: born elsewhere,0.007441546494297644,0.10162193570335327
130,studying: primary catholic,0.00740513623550906,0.10112471634439459
83,birth: fiji,0.007350738822970812,0.10038186398653771
128,studying: secondary catholic,0.007233838360065566,0.09878546848808153
98,birth: india,0.00722450315929403,0.09865798676458362
177,economic: variable interest rate_pc,-0.007204548589914816,0.09838548669111145
62,population: 70-74,0.007152467743710136,0.09767426941813684
101,birth: new zealand,0.007146630381533635,0.09759455426158542
175,economic: gini coefficient_pc,-0.007095774320175518,0.09690006267957077
74,birth: egypt,0.007064125963540768,0.09646787196954593
172,economic: median income_pc,-0.007020533078403521,0.09587256649454344
176,economic: trimmed mean quarterly_pc,-0.006965911424791813,0.09512665189526044
171,economic: median age of earners_pc,-0.006954756911342534,0.09497432559461669
124,studying: tertiary PT 14-25,0.006884375936869983,0.0940132013352884
63,population: 75-79,0.006804016887296432,0.09291581624534725
97,birth: sri lanka,0.0067991630061453884,0.09284953152904252
52,population: 20-24,0.006737729377734256,0.0920105924400771
53,population: 25-29,0.006678065206688056,0.09119581710292145
82,birth: chile,0.0065477856383823994,0.0894167162232907
64,population: 80-84,0.006531883981372674,0.089199562817415
173,economic: top 5% suburb_pc,-0.006466527506310996,0.0883070532414008
93,birth: pakistan,0.006368946557029759,0.08697448547993765
95,birth: mauritius,0.00630528142649789,0.08610507294500115
96,birth: samoa,0.006234911923348972,0.0851441053383409
214,birth: fiji_pc,0.006176398266106597,0.08434504144502124
110,birth: zimbabwe,0.0061514118878199,0.08400382686957565
120,studying: primary other,0.0060723807810137255,0.08292457619761168
119,birth: germany,0.0059619960652220584,0.08141715989652297
111,birth: bangladesh,0.005877932926874819,0.08026919168229608
174,economic: top 1% suburb_pc,-0.005819584363492576,0.07947238231465227
136,relationships: defacto,0.0056876773878264605,0.07767105752144732
65,population: 85 and over,0.005676512587876039,0.07751859074809961
270,relationships: lone persons_pc,-0.005613847095189261,0.0766628292913225
228,birth: sri lanka_pc,0.005497408510755874,0.07507274121625014
89,birth: poland,0.005492394843401389,0.07500427445575542
134,overseas: 5 years,0.0054151636679013685,0.07394960368846644
87,birth: scotland,0.00533782329770673,0.0728934417558338
227,birth: samoa_pc,0.005276438491554162,0.07205516938479113
133,studying: tertiary total,0.0052618276407469374,0.07185564325908046
