,variable,correlation,correlation_with_distance
290,relationships: lone parents_pc,-0.7415850624395359,0.5206295513236594
285,relationships: non dependent child_pc,-0.6567080995931137,0.17989106479485073
53,nature_percentage,-0.6461006872977,0.702546490306836
278,studying: secondary government_pc,-0.614768178119122,0.2856342302576276
47,developed_area,-0.5852958965901235,0.32509492284322844
277,studying: primary catholic_pc,-0.5709863934770213,0.45587274953929646
282,relationships: child under 15_pc,-0.5555820599997597,0.3081223783118147
45,distance_to_cbd,-0.5332901654003774,0.9961861600986074
252,birth: total_pc,-0.5325385307777357,0.3753454171069069
44,crow_distance_to_cbd,-0.5270974157999736,0.9929416632266996
270,studying: primary total_pc,-0.5117181597679186,0.30433922905661387
196,population: 0-4_pc,-0.5074478886086147,0.20944200879619873
197,population: 5-9_pc,-0.4983357490312605,0.2993497292942205
274,studying: primary government_pc,-0.4839530060940863,0.1967961552910119
8,b10_arson,-0.4769295222266527,0.30529403450811354
275,studying: secondary catholic_pc,-0.4576907906111687,0.35256688400883035
160,housing: count,-0.45323549364696664,0.08151015155656863
6,a80_dangerous_and_negligent_acts_endangering_people,-0.4496017704932866,0.2305650043163489
145,studying: primary catholic,-0.44352958156387784,0.10887035502599866
198,population: 10-14_pc,-0.42958862155949984,0.3345214541104804
158,relationships: lone parents,-0.41565358512883693,0.032335273494220364
276,studying: preschool_pc,-0.41462830364465364,0.21222122444662583
288,relationships: married_pc,-0.4080904738673832,0.1727550613522083
166,b10_arson_pc,-0.3949578983049475,0.39364186896623726
20,e20_breaches_of_orders,-0.38723401039686156,0.2812155462612211
199,population: 15-19_pc,-0.3841569768073921,0.23148387748958577
246,birth: philippines_pc,-0.38239831958747617,-0.03946028653535086
14,c20_cultivate_or_manufacture_drugs,-0.3820169343313166,0.10719636490002045
143,studying: secondary catholic,-0.3819479981598831,0.06326467146717603
153,relationships: non dependent child,-0.37527425774198836,-0.06154625397772102
164,a80_dangerous_and_negligent_acts_endangering_people_pc,-0.3737989613819483,0.3642482875453878
284,relationships: other related individual_pc,-0.36532480012482227,-0.13683057984625627
5,"a70_stalking,_harassment_and_threatening_behaviour",-0.3626234643564045,0.1676561986605744
279,studying: secondary total_pc,-0.35445194794698315,0.22792703713250956
146,studying: secondary government,-0.35317075844677887,-0.017212824909194884
253,birth: netherlands_pc,-0.3429064457193542,0.36468751510465625
273,studying: tafe total_pc,-0.3377599888070587,0.029602059314585066
87,birth: country of birth not stated,-0.3365274451396196,0.05877822233542479
219,birth: country of birth not stated_pc,-0.33558836417815935,0.42668496722606575
19,e10_justice_procedures,-0.32669359059292574,0.19350716031368553
211,population: 75-79_pc,-0.32166038232147537,0.4718144159243018
150,relationships: child under 15,-0.31472814860737036,-0.02920052014579637
121,birth: netherlands,-0.31459929378015405,0.12764770281410603
9,b20_property_damage,-0.3143688288186862,0.1864509346117581
212,population: 80-84_pc,-0.31421212560271156,0.4358363338423582
172,c20_cultivate_or_manufacture_drugs_pc,-0.30972623623388823,0.2568873697281115
138,studying: primary total,-0.309312928966521,-0.02469911330267989
63,population: 0-4,-0.3068889477618828,-0.06541738616091915
217,birth: australia_pc,-0.3065770967166792,0.5802749287767055
64,population: 5-9,-0.30454765940056033,-0.03962840099658295
208,population: 60-64_pc,-0.30241833162020176,0.47559509539635986
16,d10_weapons_and_explosives_offences,-0.3016788356022767,0.10323051011003423
209,population: 65-69_pc,-0.2996173999922576,0.4979389338351702
142,studying: primary government,-0.2983297158647436,-0.04400682499081903
178,e20_breaches_of_orders_pc,-0.2971158484727035,0.37176725623448503
85,birth: australia,-0.29599987556019725,0.05763565498774411
76,population: 65-69,-0.29442400974119237,0.02535183879103458
65,population: 10-14,-0.291656929359344,-0.025803207161968652
78,population: 75-79,-0.29086451006128455,0.0381117331997434
141,studying: tafe total,-0.28966041360163775,-0.10432021390236793
144,studying: preschool,-0.28911064522184304,-0.046620457625450085
152,relationships: other related individual,-0.28698837342192257,-0.15109455103995573
7,other_crimes_against_the_person,-0.2858264846037729,0.16690176663541564
3,a20_assault_and_related_offences,-0.2812294396283384,0.11782358378892614
79,population: 80-84,-0.28005667662826894,0.01792251095903038
114,birth: philippines,-0.2774122183672408,-0.08779733364139412
75,population: 60-64,-0.27697722821317466,-0.02229726416050444
156,relationships: married,-0.27310368872462343,-0.09272525866607081
66,population: 15-19,-0.27061391558022113,-0.07633480809144809
77,population: 70-74,-0.2704418425466181,0.026513882271780642
147,studying: secondary total,-0.2682898356254927,-0.05247554099613575
243,birth: samoa_pc,-0.25659866438190587,-0.03954231856060673
120,birth: total,-0.25396769483760306,-0.1109420130422046
177,e10_justice_procedures_pc,-0.24865902434330808,0.298304228253037
74,population: 55-59,-0.2435112262650824,-0.0658087694986061
133,birth: croatia,-0.24315527402099946,-0.14963647338658623
46,total_area,-0.24240579796798603,0.3349907755529597
254,birth: myanmar_pc,-0.240174964251862,-0.01828118908746328
230,birth: fiji_pc,-0.23963056510459368,-0.1377165329595579
210,population: 70-74_pc,-0.23710794176128377,0.4344184500653483
174,d10_weapons_and_explosives_offences_pc,-0.2356546153394146,0.23676084212604867
240,birth: pakistan_pc,-0.23516470815930227,-0.1220741984627885
54,economic: median age of earners,-0.23429799093213433,0.3885695551438549
163,"a70_stalking,_harassment_and_threatening_behaviour_pc",-0.23170628823428285,0.2742943118523256
108,birth: pakistan,-0.23166309777637328,-0.11509188115337499
207,population: 55-59_pc,-0.22761089356452935,0.3736477998253916
28,total_crimes,-0.21934448387994698,0.03615658378661656
98,birth: fiji,-0.21903705685676148,-0.09234288052598191
233,birth: malta_pc,-0.2189736555158059,-0.1154916874367756
81,population: total persons,-0.21793218315905002,-0.14814982218728612
161,a20_assault_and_related_offences_pc,-0.2114976089637613,0.262060459218434
111,birth: samoa,-0.21096384575769128,-0.04144860001836558
80,population: 85 and over,-0.21085659429032172,0.010962691981271993
73,population: 50-54,-0.20855699318984852,-0.12262534413083667
126,birth: bangladesh,-0.2066023536451142,-0.1572613700484377
101,birth: malta,-0.20493189681118887,-0.11437239304912766
113,birth: india,-0.1982320425466416,-0.15018991794992412
213,population: 85 and over_pc,-0.19541970933657893,0.3743448592563988
167,b20_property_damage_pc,-0.1891256651870343,0.29310299193931844
122,birth: myanmar,-0.189040657521929,-0.053935240602470826
124,birth: bosnia and herzegovina,-0.18651358958784028,-0.13606853200027663
112,birth: sri lanka,-0.1832003218049814,-0.13906270288410272
157,relationships: dependent student,-0.1753643578460969,-0.1682031798675569
72,population: 45-49,-0.17191795524301265,-0.16367250989799043
245,birth: india_pc,-0.17164657981887022,-0.23761264470932766
10,b30_burglary/break_and_enter,-0.17089651936102473,-0.04536964145713471
71,population: 40-44,-0.16915317899204813,-0.19448244090416736
18,d30_public_nuisance_offences,-0.1690969562304886,0.1427432493606623
258,birth: bangladesh_pc,-0.1644026439367587,-0.20287678340884713
244,birth: sri lanka_pc,-0.1640581149369626,-0.1999439603956688
265,birth: croatia_pc,-0.15096084844924396,-0.10758344548089221
165,other_crimes_against_the_person_pc,-0.15072598274640825,0.24308783352339355
118,birth: lebanon,-0.14961427335664457,-0.19052477826517583
256,birth: bosnia and herzegovina_pc,-0.14933360104457094,-0.16710045194620277
89,birth: egypt,-0.14903035636791517,-0.25492529813650144
222,birth: afghanistan age_pc,-0.1478941207144192,0.00839383303162997
0,Unnamed: 0,-0.14502291151165744,0.1476541571675489
15,c30_drug_use_and_possession,-0.14127784340420582,0.0037815754365306802
110,birth: mauritius,-0.13810629668141555,-0.11641058612081681
95,birth: north macedonia,-0.13643630289331304,-0.11373195187443162
90,birth: afghanistan age,-0.1349606129928739,-0.01405177990214187
91,birth: thailand,-0.1262924589422713,-0.14295366357732256
70,population: 35-39,-0.1233743097841163,-0.24854126007438793
227,birth: north macedonia_pc,-0.12184804514069303,-0.1483814215165392
94,birth: nepal,-0.11956179189361757,-0.13359404191158541
109,birth: iraq,-0.1147220716746562,-0.04419279584393921
241,birth: iraq_pc,-0.11341873494989925,-0.04627294532932149
159,economic: number of earners,-0.11232271676657846,-0.19259113296044225
127,birth: turkey,-0.11169113172426835,-0.09616767826654393
13,c10_drug_dealing_and_trafficking,-0.11124874520477823,0.04224341064295429
115,birth: vietnam,-0.11033309701697748,-0.13755761548186973
130,birth: cambodia,-0.1075794290159172,-0.06342292975519152
23,c90_other_drug_offences,-0.10615953204551215,0.06370684241562398
132,birth: italy,-0.1000986077654966,-0.23615016208496406
67,population: 20-24,-0.09936790313313598,-0.22447437577834836
125,birth: zimbabwe,-0.0943898235256072,-0.0675629374238615
181,c90_other_drug_offences_pc,-0.09209740231129794,0.06659244844955667
176,d30_public_nuisance_offences_pc,-0.09018381642409183,0.2314120718228886
250,birth: lebanon_pc,-0.08741900741920391,-0.2318337751389088
262,birth: cambodia_pc,-0.08739751182198659,-0.06074542248837209
117,birth: iran,-0.08352555388211998,-0.21586641919796543
226,birth: nepal_pc,-0.07982883406939573,-0.14681493655633907
242,birth: mauritius_pc,-0.07484215071353863,-0.22614585368043716
186,total_crimes_pc,-0.07088007363553515,0.13971855061362878
102,birth: scotland,-0.06699857292896987,-0.09039072332674408
206,population: 50-54_pc,-0.06258386304644069,0.1144864317824579
247,birth: vietnam_pc,-0.059363009754907714,-0.1739082737309955
11,b40_theft,-0.058241125813005695,-0.17631115621652935
259,birth: turkey_pc,-0.05242217363669645,-0.12252708458649866
4,a50_robbery,-0.051885814734159305,-0.20932037800389144
289,relationships: dependent student_pc,-0.049577201862687624,-0.1595118659983477
22,f90_miscellaneous_offences,-0.04926842543122527,0.026166317381978325
84,birth: papua new guinea,-0.0456680692793843,-0.17852826311438805
17,d20_disorderly_and_offensive_conduct,-0.045003793112121826,0.047359474722075905
51,water_percentage,-0.04206574532391897,0.1003072939283047
97,birth: chile,-0.041348070701516415,-0.2772615790676956
69,population: 30-34,-0.0394726622590746,-0.29986532642167213
223,birth: thailand_pc,-0.03865396493670719,-0.15386305351967297
60,economic: variable interest rate,-0.037564158515618715,-1.184337515335073e-15
134,birth: germany,-0.03212465528748886,-0.20039606877948546
173,c30_drug_use_and_possession_pc,-0.02502746051138603,0.09273644817687214
180,f90_miscellaneous_offences_pc,-0.02358539621272828,0.08495221467849856
135,studying: primary other,-0.02135307244315206,-0.09368130900734908
131,birth: born elsewhere,-0.019569876608661035,-0.3268422097084201
59,economic: trimmed mean quarterly,-0.014481062299695386,3.598025992860649e-16
83,birth: wales,-0.01378678010603432,-0.08088248029752261
86,birth: malaysia,-0.012722829398023052,-0.19195056603895516
221,birth: egypt_pc,-0.010889874985348122,-0.3351944709442782
61,economic: gdp quarterly,-0.008617886700097183,3.190311585193455e-16
62,economic: gdp per capita quarterly,-0.005654182332382403,5.904669897225312e-17
12,b50_deception,-0.0029494833302331817,-0.12367119161412488
116,birth: new zealand,-0.0015672745105240794,-0.22371489920925544
88,birth: indonesia,-0.0003587588054440325,-0.25318931573726305
24,f30_other_government_regulatory_offences,0.0014458772615088065,-0.05326223026888661
129,birth: korea republic of south,0.004188194274447671,-0.26662624242238336
168,b30_burglary/break_and_enter_pc,0.00461216892260146,0.04550541332772305
50,disturbed_percentage,0.0046966490898322465,-0.1480585959679062
2,quarter,0.00655565731048287,-5.789930480907943e-16
264,birth: italy_pc,0.008155109346729786,-0.2768854817755788
171,c10_drug_dealing_and_trafficking_pc,0.010074070839438362,0.10001183671666405
68,population: 25-29,0.013407701255713958,-0.3085913302609225
25,d40_public_security_offences,0.019320313539679796,0.03582271570349621
154,relationships: lone persons,0.023514959421501214,-0.1325205790642127
151,relationships: defacto,0.024454406299520552,-0.18101377578327468
103,birth: china excludes sars and taiwan,0.028228044544034152,-0.2602350966779116
175,d20_disorderly_and_offensive_conduct_pc,0.028283652366367144,0.08245664957010572
249,birth: iran_pc,0.032335054550726425,-0.3183262207189002
149,overseas: 5 years,0.033842002486491496,-0.30955701282307035
195,economic: gdp per capita quarterly_pc,0.033884145188028576,0.038767959785035416
99,birth: taiwan,0.04122289395111131,-0.21406070870885635
93,birth: hong kong sar of china,0.044886488603224146,-0.22890450972528809
182,f30_other_government_regulatory_offences_pc,0.05591466177998847,-0.03911574562127713
26,f10_regulatory_driving_offences,0.059556980457257526,-0.04547938912741691
96,birth: england,0.059676208463298824,-0.1421471146676955
107,birth: greece,0.06977168232677161,-0.3246908877954008
1,year,0.07069931520911892,1.2099466807477734e-13
104,birth: poland,0.07451878322601131,-0.29374546685501896
187,economic: median age of earners_pc,0.07607556360749379,0.2224867356585519
184,f10_regulatory_driving_offences_pc,0.0776774603958654,-0.019107405744598824
257,birth: zimbabwe_pc,0.07906907182951335,-0.017021727271701554
27,b60_bribery,0.09040506939894156,-0.1019253078420149
34,avg_school_number_vce_subjects,0.09089380090037914,-0.16347194356755113
185,b60_bribery_pc,0.09397353698872095,-0.08335085064522961
194,economic: gdp quarterly_pc,0.095463813132319,0.09397043653529479
183,d40_public_security_offences_pc,0.0983533550574143,-0.010204497796110521
105,birth: singapore,0.10818216046191155,-0.3455501506767588
170,b50_deception_pc,0.11138316760180964,-0.04934004588614079
136,studying: tertiary FT 14-25,0.11269354689151422,-0.36154386293251345
21,f20_transport_regulation_offences,0.11465858170428853,-0.25290151985087567
162,a50_robbery_pc,0.11749849992102182,-0.2242798697167128
261,birth: korea republic of south_pc,0.11952258422298405,-0.31542786781729254
218,birth: malaysia_pc,0.12798678100415647,-0.24491501505703545
137,studying: tertiary FT 25+,0.130972761275742,-0.3885130395114455
139,studying: tertiary PT 14-25,0.13249371625168682,-0.42539614993219194
220,birth: indonesia_pc,0.13273801599406013,-0.3121470017758735
169,b40_theft_pc,0.13390131678092557,-0.09109979839063306
192,economic: trimmed mean quarterly_pc,0.14321048335993092,0.13516258359535047
235,birth: china excludes sars and taiwan_pc,0.14582021882542048,-0.3290559683377852
200,population: 20-24_pc,0.14694116412494218,-0.2376556056259742
148,studying: tertiary total,0.14730518154608135,-0.40635039243140153
193,economic: variable interest rate_pc,0.14925923167632293,0.13997626198571375
29,best_school_number_vce_subjects,0.15005467743871556,-0.23146337318559937
48,built_percentage,0.15490313306151907,-0.28782128146312036
106,birth: south africa,0.15706321557923172,-0.17671498465313623
216,birth: papua new guinea_pc,0.1591254413466739,-0.12572804310982663
205,population: 45-49_pc,0.16237410580148073,-0.15096372537484254
231,birth: taiwan_pc,0.17758278606595518,-0.26146417941339267
234,birth: scotland_pc,0.18016606890717432,-0.06016914701812587
155,relationships: group household,0.18423277120076492,-0.325429912178322
225,birth: hong kong sar of china_pc,0.1924185692291804,-0.3235421352906616
179,f20_transport_regulation_offences_pc,0.21233669248345843,-0.20894335018946156
267,studying: primary other_pc,0.2212373180728947,-0.0333235440457552
215,birth: wales_pc,0.23034620299921213,-0.08303428318188814
39,zoned_school_number_vce_subjects,0.23850114446110338,-0.21976229205629297
140,studying: tertiary PT 25+,0.26378226212118316,-0.4167396117247986
239,birth: greece_pc,0.27445592567553223,-0.41693495833923666
204,population: 40-44_pc,0.2762861629332361,-0.3624218809690121
266,birth: germany_pc,0.27709275194620153,-0.18440520098375168
40,zoned_school_satisfactory_complete_vce_percent,0.2771117174152739,-0.031962356587390814
191,economic: gini coefficient_pc,0.28282797854629743,0.05792091022497902
30,best_school_satisfactory_complete_vce_percent,0.2832521595230706,-0.1985237747601626
229,birth: chile_pc,0.2853513480292381,-0.48609237120571047
35,avg_school_satisfactory_complete_vce_percent,0.287754920889479,-0.2202974602235307
281,overseas: 5 years_pc,0.2907332956934004,-0.3976961866783565
100,birth: japan,0.31304948538259525,-0.42652144120684904
32,best_school_study_score_over_40_percent,0.3188336218028017,-0.13869418225834537
188,economic: median income_pc,0.34850137538754444,-0.014145806406110241
41,zoned_school_median_study_score,0.3585866422552747,-0.08952180951671043
286,relationships: lone persons_pc,0.3641860797219087,0.033067399026203224
263,birth: born elsewhere_pc,0.3659398725678796,-0.5382812795784494
268,studying: tertiary FT 14-25_pc,0.38081285932346565,-0.4573053477247985
269,studying: tertiary FT 25+_pc,0.3991824402074414,-0.45882158235782056
236,birth: poland_pc,0.4002116600408228,-0.4060212819993287
237,birth: singapore_pc,0.40168312209601154,-0.500547472573439
82,birth: brazil,0.4023399851646273,-0.4021473160113427
228,birth: england_pc,0.4042067995519208,-0.1658998003985191
189,economic: top 5% suburb_pc,0.41065968301776357,-0.04280119714024375
283,relationships: defacto_pc,0.4124078836250641,-0.12508490665162875
37,avg_school_study_score_over_40_percent,0.4226839586813285,-0.16521511325186772
