,variable,correlation,correlation_with_distance
290,relationships: lone parents_pc,-0.8159483601046926,0.5206295513236594
53,nature_percentage,-0.7440875199311079,0.702546490306836
45,distance_to_cbd,-0.6904109330291341,0.9961861600986074
44,crow_distance_to_cbd,-0.6855171548311143,0.9929416632266996
277,studying: primary catholic_pc,-0.6583666642029796,0.45587274953929646
282,relationships: child under 15_pc,-0.6242076162118118,0.3081223783118147
197,population: 5-9_pc,-0.6157840312599838,0.2993497292942205
285,relationships: non dependent child_pc,-0.6009584641440737,0.17989106479485073
270,studying: primary total_pc,-0.5955656916270146,0.30433922905661387
278,studying: secondary government_pc,-0.5810436875262622,0.2856342302576276
217,birth: australia_pc,-0.5714208703090035,0.5802749287767055
47,developed_area,-0.5621833077798389,0.32509492284322844
198,population: 10-14_pc,-0.561428906997245,0.3345214541104804
196,population: 0-4_pc,-0.5537982763379992,0.20944200879619873
252,birth: total_pc,-0.5184672861062039,0.3753454171069069
275,studying: secondary catholic_pc,-0.5133195639482161,0.35256688400883035
8,b10_arson,-0.5129125965354624,0.30529403450811354
166,b10_arson_pc,-0.4992899566162598,0.39364186896623726
274,studying: primary government_pc,-0.4911450561406714,0.1967961552910119
208,population: 60-64_pc,-0.4872616144187318,0.47559509539635986
276,studying: preschool_pc,-0.4847160983854088,0.21222122444662583
209,population: 65-69_pc,-0.48053112723069824,0.4979389338351702
253,birth: netherlands_pc,-0.4637483441983518,0.36468751510465625
211,population: 75-79_pc,-0.45941939200642024,0.4718144159243018
279,studying: secondary total_pc,-0.4587296870825184,0.22792703713250956
212,population: 80-84_pc,-0.4410493841813607,0.4358363338423582
207,population: 55-59_pc,-0.4112562599215686,0.3736477998253916
54,economic: median age of earners,-0.3989228374025983,0.3885695551438549
164,a80_dangerous_and_negligent_acts_endangering_people_pc,-0.39854503722190376,0.3642482875453878
210,population: 70-74_pc,-0.3960082018037145,0.4344184500653483
145,studying: primary catholic,-0.39111369789706346,0.10887035502599866
6,a80_dangerous_and_negligent_acts_endangering_people,-0.3893881399823623,0.2305650043163489
20,e20_breaches_of_orders,-0.389171326866748,0.2812155462612211
288,relationships: married_pc,-0.3751346619879547,0.1727550613522083
178,e20_breaches_of_orders_pc,-0.36473516169932824,0.37176725623448503
199,population: 15-19_pc,-0.35093352111823267,0.23148387748958577
219,birth: country of birth not stated_pc,-0.3465369697309816,0.42668496722606575
213,population: 85 and over_pc,-0.34317656795972135,0.3743448592563988
158,relationships: lone parents,-0.32592176184082683,0.032335273494220364
172,c20_cultivate_or_manufacture_drugs_pc,-0.32000096484353646,0.2568873697281115
143,studying: secondary catholic,-0.30996586505119966,0.06326467146717603
121,birth: netherlands,-0.3084848666978765,0.12764770281410603
5,"a70_stalking,_harassment_and_threatening_behaviour",-0.3076697481342054,0.1676561986605744
14,c20_cultivate_or_manufacture_drugs,-0.2967597554657036,0.10719636490002045
46,total_area,-0.29220361323442795,0.3349907755529597
163,"a70_stalking,_harassment_and_threatening_behaviour_pc",-0.26729407012619427,0.2742943118523256
85,birth: australia,-0.25764017403158307,0.05763565498774411
153,relationships: non dependent child,-0.25636065304910993,-0.06154625397772102
