,variable,correlation,correlation_with_distance
290,relationships: lone parents_pc,-0.6886147957032839,0.5206295513236594
53,nature_percentage,-0.613969679064062,0.702546490306836
285,relationships: non dependent child_pc,-0.6093393733428513,0.17989106479485073
278,studying: secondary government_pc,-0.599503907216465,0.2856342302576276
47,developed_area,-0.5419647123674304,0.32509492284322844
252,birth: total_pc,-0.5044565996034812,0.3753454171069069
277,studying: primary catholic_pc,-0.5005296460427828,0.45587274953929646
196,population: 0-4_pc,-0.49498389885220506,0.20944200879619873
282,relationships: child under 15_pc,-0.48792351638936954,0.3081223783118147
45,distance_to_cbd,-0.48299899332306245,0.9961861600986074
44,crow_distance_to_cbd,-0.47727076281573033,0.9929416632266996
8,b10_arson,-0.4674195463228776,0.30529403450811354
6,a80_dangerous_and_negligent_acts_endangering_people,-0.45246610217760314,0.2305650043163489
274,studying: primary government_pc,-0.4505001877742949,0.1967961552910119
270,studying: primary total_pc,-0.43575702534334004,0.30433922905661387
145,studying: primary catholic,-0.41651577279839597,0.10887035502599866
197,population: 5-9_pc,-0.41286990683431424,0.2993497292942205
246,birth: philippines_pc,-0.40973050379003334,-0.03946028653535086
158,relationships: lone parents,-0.40320258853260793,0.032335273494220364
164,a80_dangerous_and_negligent_acts_endangering_people_pc,-0.3904178069417538,0.3642482875453878
284,relationships: other related individual_pc,-0.3887494403688061,-0.13683057984625627
20,e20_breaches_of_orders,-0.38830490044511556,0.2812155462612211
166,b10_arson_pc,-0.38746389052856606,0.39364186896623726
14,c20_cultivate_or_manufacture_drugs,-0.3868509183045414,0.10719636490002045
5,"a70_stalking,_harassment_and_threatening_behaviour",-0.3797098138499053,0.1676561986605744
275,studying: secondary catholic_pc,-0.3748244588700357,0.35256688400883035
273,studying: tafe total_pc,-0.3729354349842871,0.029602059314585066
153,relationships: non dependent child,-0.367321876295809,-0.06154625397772102
276,studying: preschool_pc,-0.362833597887445,0.21222122444662583
146,studying: secondary government,-0.35256986638649807,-0.017212824909194884
219,birth: country of birth not stated_pc,-0.3522578411244866,0.42668496722606575
143,studying: secondary catholic,-0.342744532807025,0.06326467146717603
87,birth: country of birth not stated,-0.34059742703992224,0.05877822233542479
19,e10_justice_procedures,-0.3304480130273275,0.19350716031368553
178,e20_breaches_of_orders_pc,-0.3239008925449576,0.37176725623448503
288,relationships: married_pc,-0.32364921963429844,0.1727550613522083
253,birth: netherlands_pc,-0.32237330272433834,0.36468751510465625
9,b20_property_damage,-0.3221495167620108,0.1864509346117581
172,c20_cultivate_or_manufacture_drugs_pc,-0.3210070721621106,0.2568873697281115
16,d10_weapons_and_explosives_offences,-0.3168352213092674,0.10323051011003423
198,population: 10-14_pc,-0.3166068428525881,0.3345214541104804
